target,target_display,Batch,event_effect
Dim,Dim,1,46.505376344086045
Dim,Dim,2,41.6666666666667
Dim,Dim,3,58.33333333333339
Dim,Dim,4,52.41935483870967
Dim,Dim,6,88.70967741935488
Dim,Dim,7,80.6451612903226
Dim,Dim,8,86.55913978494624
Glc,Glc,1,-61.98662846227316
Glc,Glc,2,-68.95893027698186
Glc,Glc,3,-32.18720152817574
Glc,Glc,6,-48.328557784145175
Glc,Glc,7,-36.58070678127985
Glc,Glc,8,-83.57211079274116
Gln,Gln,1,-60.94627105052126
Gln,Gln,2,-53.167602245388935
Gln,Gln,3,-38.0914194065758
Gln,Gln,6,-51.08259823576584
Gln,Gln,7,-60.465116279069775
Gln,Gln,8,-85.80593424218122
HA2,eHA,1,75.0
HA2,eHA,2,50.0
HA2,eHA,3,100.0
HA2,eHA,4,100.0
HA2,eHA,6,75.0
HA2,eHA,7,62.5
HA2,eHA,8,100.0
HA4,tHA,1,50.0
HA4,tHA,2,80.0
HA4,tHA,3,80.0
HA4,tHA,4,80.0
HA4,tHA,6,90.0
HA4,tHA,7,70.0
HA4,tHA,8,80.0
NH4,NH4,1,77.4074074074074
NH4,NH4,2,40.17094017094017
NH4,NH4,3,34.829059829059815
NH4,NH4,6,36.11111111111111
NH4,NH4,7,65.0997150997151
NH4,NH4,8,42.02279202279202
VCD,VCD,1,50.87637660927563
VCD,VCD,2,27.7648518690864
VCD,VCD,3,27.919962773382967
VCD,VCD,4,47.46393671475105
VCD,VCD,6,5.27377074608345
VCD,VCD,7,24.9728555917481
VCD,VCD,8,56.15014735535908
Via,Via,1,-95.98017621145375
Via,Via,2,-78.01762114537446
Via,Via,3,-86.87224669603523
Via,Via,4,-77.3568281938326
Via,Via,6,-87.58810572687224
Via,Via,7,-66.13436123348019
Via,Via,8,-75.66079295154185
