group,model,n,rmse,panel
low,PLSR,10,17.93561225843521,E
middle,PLSR,13,3.7838106534024196,E
high,PLSR,68,7.661633131984351,E
low,Retained Via model,10,7.548611579506127,E
middle,Retained Via model,13,6.253605962543986,E
high,Retained Via model,68,3.8907588416716172,E
pre,PLSR,27,8.195481895738226,F
0-48 h,PLSR,28,6.136620739783786,F
48-96 h,PLSR,20,7.851861911337496,F
>96 h,PLSR,16,14.347661491912518,F
pre,Retained Via model,27,1.304984143099702,F
0-48 h,Retained Via model,28,1.4174415857469993,F
48-96 h,Retained Via model,20,7.855830918148337,F
>96 h,Retained Via model,16,6.942082803704077,F
