process_variable,reference_region,n,mean_signed_residual_range_pct
Dim,low,0,
Dim,middle,0,
Dim,high,91,-0.15702725563878261
Glc,low,14,3.503978586296298
Glc,middle,27,-1.359594265651345
Glc,high,26,-0.4124335151485701
Gln,low,32,1.1008020098721425
Gln,middle,23,0.2572565070826168
Gln,high,12,-3.6860706211881404
NH4,low,7,12.816107898737878
NH4,middle,29,4.08141049287559
NH4,high,31,-6.911363075393798
VCD,low,33,3.8040012114035417
VCD,middle,41,0.6581633234780441
VCD,high,17,-9.801203734774482
Via,low,10,14.704503133667137
Via,middle,13,-1.1849894523581073
Via,high,68,-3.2471703080114627
eHA,low,13,23.027425145833604
eHA,middle,17,-6.297607829761803
eHA,high,19,-14.425587154835299
tHA,low,4,31.400216406621084
tHA,middle,16,4.257732856435234
tHA,high,35,-5.39965934588453
